"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9904","Program page navigation","firefox","2026-08-05","failed","2026-08-05","Program Management","tests\features\program.feature.spec.js","",""
"","9744","Display Delete Confirmation","chromium","2026-08-08","passed","2026-08-08","Delete Program","tests\features\program\deleteprg.feature.spec.js","",""
"","2837","Delete Multiple Program","chromium","2026-08-09","passed","2026-08-09","Delete Program","tests\features\program\deleteprg.feature.spec.js","",""
"","2332","Program-Sub menu displayed","chromium","2026-08-07","passed","2026-08-07","Menu bar verification in Program page","tests\features\program\program-menubar.feature.spec.js","",""
"","2441","Status radio buttons are displayed","chromium","2026-08-07","passed","2026-08-07","Add New Program UI Verification","tests\features\program\program-addnewprgUI.feature.spec.js","",""
"","6554","Edit icon functionality","chromium","2026-08-08","failed","2026-08-08","Edit Program Functional Verification","tests\features\program\program-editprg.feature.spec.js","",""
"","15024","Program page navigation","webkit","2026-08-05","failed","2026-08-05","Program Management","tests\features\program.feature.spec.js","",""
"","8914","Company name is displayed","chromium","2026-08-05","failed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","2272","Add new program with numeric program name","chromium","2026-08-08","passed","2026-08-08","Add New Program Functional Verification","tests\features\program\program-addnewprgFunc.feature.spec.js","",""
"","2186","Pagination controls are displayed","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","1331","pick locator demo","chromium","2026-08-05","passed","2026-08-05","","tests\features\pick-locator-demo.spec.js","",""
"","17977","Search placeholder presence","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","2954","Cancel Multiple Deletion","chromium","2026-08-09","passed","2026-08-09","Delete Program","tests\features\program\deleteprg.feature.spec.js","",""
"","3845","Footer message is displayed","firefox","2026-08-07","failed","2026-08-07","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","2108","Checkbox default state - datatable each rows","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","2013","Program page navigation","chromium","2026-08-09","passed","2026-08-09","Program Navigation","tests\features\program\program-navigation.feature.spec.js","",""
"","2731","cancel button functionality","chromium","2026-08-07","passed","2026-08-07","Add New Program Functional Verification","tests\features\program\program-addnewprgFunc.feature.spec.js","",""
"","19876","Multiple Delete button state","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","14054","Broken link verification","chromium","2026-08-05","failed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","3034","Search new Program and verify the details","chromium","2026-08-08","passed","2026-08-08","Edit Program Functional Verification","tests\features\program\program-editprg.feature.spec.js","",""
"","2761","Search added Program and Edit the Program details","chromium","2026-08-08","passed","2026-08-08","Edit Program Functional Verification","tests\features\program\program-editprg.feature.spec.js","",""
"","2554","Add New Program dialog is displayed","chromium","2026-08-07","passed","2026-08-07","Add New Program UI Verification","tests\features\program\program-addnewprgUI.feature.spec.js","",""
"","3031","Program Details dialog title","chromium","2026-08-07","passed","2026-08-07","Add New Program UI Verification","tests\features\program\program-addnewprgUI.feature.spec.js","",""
"","6609","Manage program heading presence","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","5202","Program-Sub menu displayed","chromium","2026-08-06","failed","2026-08-06","Program Management","tests\features\program.feature.spec.js","",""
"","8788","Application title is displayed","chromium","2026-08-05","failed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","2869","Close button X functionality","chromium","2026-08-08","passed","2026-08-08","Add New Program Functional Verification","tests\features\program\program-addnewprgFunc.feature.spec.js","",""
"","2049","edit and delete icon presence","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","2338","Empty form submission","chromium","2026-08-07","passed","2026-08-07","Add New Program Functional Verification","tests\features\program\program-addnewprgFunc.feature.spec.js","",""
"","3128","Mandatory fields indicator","chromium","2026-08-07","passed","2026-08-07","Add New Program UI Verification","tests\features\program\program-addnewprgUI.feature.spec.js","",""
"","2314","Sorting of Program Description in Ascending order and Descending order","chromium","2026-08-08","failed","2026-08-08","Manage Sorting functionality","tests\features\program\program-sorting.feature.spec.js","",""
"","7184","Role Dropdown is displayed","chromium","2026-08-05","failed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","2160","Search box is displayed","chromium","2026-08-07","passed","2026-08-07","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","193","Manage program heading presence","chromium","2026-08-06","failed","2026-08-06","Program Management","tests\features\program.feature.spec.js","",""
"","192","Multiple Delete button state","chromium","2026-08-06","failed","2026-08-06","Program Management","tests\features\program.feature.spec.js","",""
"","2071","Checkbox default state - header","chromium","2026-08-06","passed","2026-08-06","Manage Program UI Verification","tests\features\program\program-manageprgUI.feature.spec.js","",""
"","8623","Application Logo is displayed","chromium","2026-08-05","failed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","6549","Text presence on the second field","chromium","2026-08-05","failed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","187","Search placeholder presence","chromium","2026-08-06","failed","2026-08-06","Program Management","tests\features\program.feature.spec.js","",""
"","194","Search box is displayed","chromium","2026-08-06","failed","2026-08-06","Program Management","tests\features\program.feature.spec.js","",""
"","14403","Access app with invalid URL","chromium","2026-08-05","failed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
"","548","Program page navigation","chromium","2026-08-06","failed","2026-08-06","Program Management","tests\features\program.feature.spec.js","",""
"","7324","Login page is displayed successfully","chromium","2026-08-05","passed","2026-08-05","Login Functionality","tests\features\login.feature.spec.js","",""
